# Root node entered via code: thing;t;'';TBD; ROOT
# name;ppt,tag(NN|NNP);canDo;superclass--No NNS, yet
instrument;t;NN;TBD;thing
recreation_ground;p;NN;TBD;thing
animal;t;NN;see,eat,walk,run;thing
device;t;NN;TBD;thing
vehicle;t;NN;TBD;thing
#
computer;t;NN;compute;device
#
bird;t;NN;see,eat,walk,run,fly;animal
mammal;t;NN;see,eat,walk,run;animal
#
human;t;NN;see,eat,walk,run;mammal
canine;t;NN;see,eat,walk,run;mammal
feline;t;NN;see,eat,walk,run;mammal
#
woman;t;NN;see,eat,walk,run;human
man;t;NN;see,eat,walk,run;human
#
cat;t;NN;see,eat,walk,run;feline
dog;t;NN;see,eat,walk,run;canine
#
park;p;NN;recreation;recreation_ground
playground;t;NN;play;park
#
duck;t;NN;see,eat,walk,run,fly;bird
#
bus;t;NN;transport;vehicle
#
telescope;t;NN;magnify;instrument
#
self;P;NN;see,eat,walk,run;human
#
simp;t;NN;compute;computer
#
mary;P;NNP;see,eat,walk,run;woman
jane;P;NNP;see,eat,walk,run;woman
janet;P;NNP;see,eat,walk,run;woman
#
bob;P;NNP;see,eat,walk,run;man
john;P;NNP;see,eat,walk,run;man
pete;P;NNP;see,eat,walk,run;man
sam;P;NNP;see,eat,walk,run;man
#
pookie;t;NNP;see,eat,walk,run;cat
daffy;t;NNP;see,eat,walk,run,fly;duck
