for, CC
and, CC
not, CC
but, CC
or, CC
yet, CC
so, CC
than, CC
one, CD
two, CD
three, CD
four, CD
five, CD
a, DT
an, DT
the, DT
my, DT
some, DT
in, IN
on, IN
by, IN
with, IN
at, IN
quick, JJ
hard, JJ
fast, JJ
good, JJ
bad, JJ
quicker, JJR
harder, JJR
faster, JJR
better, JJR
most, JJS
quickest, JJS
hardest, JJS
fastest, JJS
best, JJS
can, MD
could, MD
might, MD
will, MD
self, NN
cat, NN
man, NN
woman, NN
dog, NN
telescope, NN
bus, NN
duck, NN
park, NN
playground, NN
feline, NN
canine, NN
human, NN
mammal, NN
bird, NN
computer, NN
vehicle, NN
device, NN
animal, NN
instrument, NN
Simp, NNP
Bob, NNP
John, NNP
Pookie, NNP
Pete, NNP
Sam, NNP
Mary, NNP
Jane, NNP
Daffy, NNP
selves, NNS
cats, NNS
men, NNS
dogs, NNS
telescopes, NNS
parks, NNS
buses, NNS
ducks, NNS
women, NNS
playgrounds, NNS
felines, NNS
canines, NNS
humans, NNS
mammals, NNS
birds, NNS
computers, NNS
me, PRP
I, PRP
you, PRP
he, PRP
she, PRP
it, PRP
we, PRP
they, PRP
very, RB
more, RBR
to, TO
compute, VB
see, VB
walk, VB
run, VB
fly, VB
eat, VB
do, VB
stop, VB
sing, VB
go, VB
start, VB
stay, VB
computed, VBD
saw, VBD
walked, VBD
ran, VBD
flew, VBD
ate, VBD
did, VBD
stopped, VBD
sang, VBD
computing, VBG
seeing, VBG
walking, VBG
running, VBG
flying, VBG
eating, VBG
doing, VBG
stopping, VBG
singing, VBG
computed, VBN
seen, VBN
walked, VBN
flown, VBN
eaten, VBN
did, VBN
know, VBP 
look, VBP
like, VBP
computes, VBZ
sees, VBZ
walks, VBZ
runs, VBZ
flies, VBZ
eats, VBZ
is, VBZ
does, VBZ
who, WDT
whose, WDT
when, WDT
where, WDT
what, WDT
which, WDT
how, WDT
why, WDT
