# Root node entered via code: thing;t;'';TBD; ROOT
# name;ppt,tag(NN|NNP);canDo;superclass--No NNS, yet
# name; similar(s); Pos Tag; canDo; parent or superclass
instrument;implement,tool,utensil,device,gadget;NN;TBD;thing
equipment;appartus,tools,implments,instruments,hardware,gadgets;NN;TBD;thing
recreation_ground;public_garden,park,playground;NN;TBD;thing
animal;creature,beast,being,brute,critter,wildlife;NN;see,eat,walk,run;thing
device;implement,gadget,utensil,tool,appliance,instrument;NN;TBD;thing
vehicle;automobile,motor_vehicle,machine,auto;NN;TBD;thing
garment;clothes,costume,outfit,attire,habit,cover;NN;TBD;thing
#
computer;abacus,calculator,laptop,mainframe,microcomputer,pc;NN;compute;device
#
bird;fowl,songbird,warbler,passerine,raptor;NN;see,eat,walk,run,fly;animal
mammal;beast,creature,vertebrate;NN;see,eat,walk,run;animal
#
human;person,mortal,human_being,personage;NN;see,eat,walk,run;mammal
canine;dog,doggie,pooch,doggy,mutt;NN;see,eat,walk,run;mammal
feline;cat,civet,cheetah,lion,jaguar;NN;see,eat,walk,run;mammal
#
woman;lady,female,girl,person,lass,lassie;NN;see,eat,walk,run;human
man;male,gentleman,guy,fellow,bloke,lad;NN;see,eat,walk,run;human
#
cat;feline,pusscat,pussy,puss,kitty;NN;see,eat,walk,run;feline
dog;canin,hound,mongrel,puppy,pup;NN;see,eat,walk,run;canine
#
park;playground,ballpark,green,stadium;NN;recreation;recreation_ground
playground;play_area,park,plying_field,amusement_park;NN;play;park
#
duck;waterbird,drake,duckling,ducky,;NN;see,eat,walk,run,fly;bird
#
bus;coach,transport,double_decker,motorcoach;NN;transport;vehicle
#
telescope;spyglass,glass,scope;NN;magnify;instrument
#
self;being,character,ego,identity,individual;NN;see,eat,walk,run;human
#
Simp;program,ai,code;NNP;compute;computer
#
Mary;name;NNP;see,eat,walk,run;woman
Jane;name;NNP;see,eat,walk,run;woman
Janet;name;NNP;see,eat,walk,run;woman
#
Bob;name;NNP;see,eat,walk,run;man
John;name;NNP;see,eat,walk,run;man
Pete;name;NNP;see,eat,walk,run;man
Sam;name;NNP;see,eat,walk,run;man
#
Pookie;name;NNP;see,eat,walk,run;cat
Daffy;name;NNP;see,eat,walk,run,fly;duck
#
hat;cap,beanie,bowler,fedora,bonnet,cowboy_hat;NN;TBD;garment
coat;overcoat,jacket,raincoat,trench_coat,parka;NN;TBD;garment
dress;frock,gown,robe,shift;NN;TBD;garment
pants;trousers,slacks,shorts,knickers;NN;TBD;garment
shirt;blouse,jersey,pullover,tunic,turtleneck;NN;TBD;garment
#
bat;implement;NN;TBD;instrument
ball;sphere,globe,orb,baseball,football;NN;TBD;equipment
