# Input sentence, Possible relationships, Date; Time
['see', 'Pookie', 'run']; []; 12/26/2022; 07:00:51
['see', 'Jane', 'fly']; []; 12/26/2022; 07:12:14
['see', 'Bob', 'fly']; []; 12/27/2022; 08:44:21
['see', 'Bob', 'walk']; []; 12/27/2022; 08:46:07
['see', 'Bob', 'run']; []; 12/27/2022; 09:49:51
['see', 'Bob', 'run']; []; 12/27/2022; 09:50:54
['see', 'Bob', 'run']; []; 12/27/2022; 09:52:26
['see', 'Bob', 'run']; []; 12/27/2022; 09:53:21
['see', 'Bob', 'run']; []; 12/27/2022; 09:54:35
['see', 'Bob', 'run']; []; 12/27/2022; 10:03:46
['see', 'Bob', 'run']; []; 12/27/2022; 10:04:55
['see', 'Bob', 'run']; []; 12/27/2022; 10:07:39
['see', 'Bob', 'run']; []; 12/27/2022; 10:12:01
['see', 'Bob', 'run']; []; 12/27/2022; 10:13:25
['see', 'Bob', 'run']; []; 12/27/2022; 10:15:54
['see', 'Bob', 'run']; []; 12/27/2022; 10:21:45
['see', 'Bob', 'fly']; []; 12/27/2022; 10:21:45
['Mary', 'walked', 'Pookie', 'in', 'the', 'park']; ['Mary,walk', 'Pookie,walk']; 12/27/2022; 10:21:45
['Mary', 'walk', 'Pookie', 'in', 'the', 'park']; ['Mary,walk', 'Pookie,walk']; 12/27/2022; 10:21:45
['Bob', 'walked', 'in', 'the', 'park']; []; 12/27/2022; 11:02:57
['Mary', 'walked', 'Pookie', 'in', 'the', 'park']; ['Mary,walk', 'Pookie,walk']; 12/27/2022; 11:04:56
['Mary', 'walked', 'Pookie', 'in', 'the', 'park']; ['Mary,walk', 'Pookie,walk']; 12/27/2022; 11:07:16
['Mary', 'walked', 'Pookie', 'in', 'the', 'park']; ['Mary,walk', 'Pookie,walk']; 12/27/2022; 11:10:15
['Mary', 'walked', 'Pookie', 'in', 'the', 'park']; ['Mary,walk', 'Pookie,walk']; 12/27/2022; 11:13:53
['Mary', 'walked', 'Pookie', 'in', 'the', 'park']; ['Mary,walk', 'Pookie,walk']; 12/27/2022; 11:15:41
['Mary', 'runs', 'in', 'the', 'park']; ['Mary,run']; 12/27/2022; 11:19:06
['Mary', 'walked', 'Pookie', 'in', 'the', 'park']; ['Mary,walk', 'Pookie,walk']; 12/27/2022; 11:33:41
['Mary', 'walked', 'Pookie', 'in', 'the', 'park']; ['Mary,walk', 'Pookie,walk']; 12/27/2022; 11:39:36
